name,function,cluster_function
MG_032_MONOMER,cell adhesion,cytokinesis/motility
MG_047_MONOMER,amino acid metabolism,metabolism
MG_336_MONOMER,amino acid metabolism,metabolism
MG_047_TETRAMER,amino acid metabolism,metabolism
MG_336_DIMER,amino acid metabolism,metabolism
MG_005_MONOMER,aminoacyl tRNA synthetase,RNA synthesis/maturation
MG_021_MONOMER,aminoacyl tRNA synthetase,RNA synthesis/maturation
MG_035_MONOMER,aminoacyl tRNA synthetase,RNA synthesis/maturation
MG_036_MONOMER,aminoacyl tRNA synthetase,RNA synthesis/maturation
MG_098_MONOMER,aminoacyl tRNA synthetase,RNA synthesis/maturation
MG_099_MONOMER,aminoacyl tRNA synthetase,RNA synthesis/maturation
MG_100_MONOMER,aminoacyl tRNA synthetase,RNA synthesis/maturation
MG_113_MONOMER,aminoacyl tRNA synthetase,RNA synthesis/maturation
MG_126_MONOMER,aminoacyl tRNA synthetase,RNA synthesis/maturation
MG_136_MONOMER,aminoacyl tRNA synthetase,RNA synthesis/maturation
MG_194_MONOMER,aminoacyl tRNA synthetase,RNA synthesis/maturation
MG_195_MONOMER,aminoacyl tRNA synthetase,RNA synthesis/maturation
MG_251_MONOMER,aminoacyl tRNA synthetase,RNA synthesis/maturation
MG_253_MONOMER,aminoacyl tRNA synthetase,RNA synthesis/maturation
MG_266_MONOMER,aminoacyl tRNA synthetase,RNA synthesis/maturation
MG_283_MONOMER,aminoacyl tRNA synthetase,RNA synthesis/maturation
MG_292_MONOMER,aminoacyl tRNA synthetase,RNA synthesis/maturation
MG_334_MONOMER,aminoacyl tRNA synthetase,RNA synthesis/maturation
MG_345_MONOMER,aminoacyl tRNA synthetase,RNA synthesis/maturation
MG_365_MONOMER,aminoacyl tRNA synthetase,RNA synthesis/maturation
MG_375_MONOMER,aminoacyl tRNA synthetase,RNA synthesis/maturation
MG_378_MONOMER,aminoacyl tRNA synthetase,RNA synthesis/maturation
MG_455_MONOMER,aminoacyl tRNA synthetase,RNA synthesis/maturation
MG_462_MONOMER,aminoacyl tRNA synthetase,RNA synthesis/maturation
MG_005_DIMER,aminoacyl tRNA synthetase,RNA synthesis/maturation
