Soluble-Soluble, 18, 18, 18, 12, 17, 12, 14, 11, 12, 11, 5, 4, 2, 0, 0, 0, 0, 0
Soluble-Fiber, 19, 18, 14, 15, 11, 13, 10, 7, 6, 6, 5, 2, 3, 2, 0, 0, 0, 0
Soluble-Surface, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 0, 0, 0, 0, 0, 0
Soluble-Binder, 13, 6, 6, 10, 8, 6, 4, 6, 6, 3, 3, 2, 2, 2, 0, 0, 0, 0
Surface-Surface, 67, 47, 39, 32, 31, 24, 18, 16, 15, 13, 13, 9, 9, 8, 7, 7, 7, 5
Surface-Fiber, 3, 3, 4, 3, 2, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Surface-Binder, 11, 10, 5, 4, 4, 4, 4, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0
Binder-Binder, 8, 3, 6, 2, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Binder-Fiber, 194, 174, 149, 128, 90, 59, 33, 23, 17, 15, 12, 10, 6, 6, 5, 4, 4, 3
Fiber-Fiber, 91, 60, 35, 21, 18, 9, 7, 4, 3, 2, 1, 1, 0, 0, 0, 0, 0, 0
