MG_032_MONOMER, cell adhesion
MG_047_MONOMER, amino acid metabolism
MG_336_MONOMER, amino acid metabolism
MG_047_TETRAMER, amino acid metabolism
MG_336_DIMER, amino acid metabolism
MG_005_MONOMER, aminoacyl tRNA synthetase
MG_021_MONOMER, aminoacyl tRNA synthetase
MG_035_MONOMER, aminoacyl tRNA synthetase
MG_036_MONOMER, aminoacyl tRNA synthetase
MG_098_MONOMER, aminoacyl tRNA synthetase
MG_099_MONOMER, aminoacyl tRNA synthetase
MG_100_MONOMER, aminoacyl tRNA synthetase
MG_113_MONOMER, aminoacyl tRNA synthetase
MG_126_MONOMER, aminoacyl tRNA synthetase
MG_136_MONOMER, aminoacyl tRNA synthetase
MG_194_MONOMER, aminoacyl tRNA synthetase
MG_195_MONOMER, aminoacyl tRNA synthetase
MG_251_MONOMER, aminoacyl tRNA synthetase
MG_253_MONOMER, aminoacyl tRNA synthetase
MG_266_MONOMER, aminoacyl tRNA synthetase
MG_283_MONOMER, aminoacyl tRNA synthetase
MG_292_MONOMER, aminoacyl tRNA synthetase
MG_334_MONOMER, aminoacyl tRNA synthetase
MG_345_MONOMER, aminoacyl tRNA synthetase
MG_365_MONOMER, aminoacyl tRNA synthetase
MG_375_MONOMER, aminoacyl tRNA synthetase
MG_378_MONOMER, aminoacyl tRNA synthetase
MG_455_MONOMER, aminoacyl tRNA synthetase
MG_462_MONOMER, aminoacyl tRNA synthetase
MG_005_DIMER, aminoacyl tRNA synthetase
MG_021_DIMER, aminoacyl tRNA synthetase
MG_035_DIMER, aminoacyl tRNA synthetase
MG_036_DIMER, aminoacyl tRNA synthetase
MG_098_099_100_TRIMER, aminoacyl tRNA synthetase
MG_113_DIMER, aminoacyl tRNA synthetase
MG_126_DIMER, aminoacyl tRNA synthetase
MG_136_DIMER, aminoacyl tRNA synthetase
MG_194_195_TETRAMER, aminoacyl tRNA synthetase
MG_251_DIMER, aminoacyl tRNA synthetase
MG_283_DIMER, aminoacyl tRNA synthetase
MG_292_TETRAMER, aminoacyl tRNA synthetase
MG_375_DIMER, aminoacyl tRNA synthetase
MG_455_DIMER, aminoacyl tRNA synthetase
MG_096_MONOMER, cell adhesion
MG_191_MONOMER, cell adhesion
MG_192_MONOMER, cell adhesion
MG_314_MONOMER, cell adhesion
MG_318_MONOMER, cell adhesion
MG_319_MONOMER, cell adhesion
MG_320_MONOMER, cell adhesion
MG_217_MONOMER, cell adhesion
MG_386_MONOMER, cell adhesion
MG_491_MONOMER, cell adhesion
MG_397_MONOMER, cell division
MG_255_MONOMER, cell division
MG_211_MONOMER, cell division
MG_213_MONOMER, cell division
MG_214_MONOMER, cell division
MG_221_MONOMER, cell division
MG_223_MONOMER, cell division
MG_224_MONOMER, cell division
MG_296_MONOMER, cell division
MG_297_MONOMER, cell division
MG_470_MONOMER, cell division
MG_494_MONOMER, cell division
MG_213_214_298_6MER, cell division
MG_213_214_298_6MER_ADP, cell division
MG_221_OCTAMER, cell division
MG_224_2MER_GTP, cell division
MG_224_3MER_GTP, cell division
MG_224_4MER_GTP, cell division
MG_224_5MER_GTP, cell division
MG_224_6MER_GTP, cell division
MG_224_7MER_GTP, cell division
MG_224_8MER_GTP, cell division
MG_224_9MER_GDP, cell division
MG_224_9MER_GTP, cell division
MG_224_MONOMER_GDP, cell division
MG_224_MONOMER_GTP, cell division
MG_275_TETRAMER, cofactor metabolism
MG_013_MONOMER, cofactor metabolism
MG_029_MONOMER, cofactor metabolism
MG_037_MONOMER, cofactor metabolism
MG_102_MONOMER, cofactor metabolism
MG_124_MONOMER, cofactor metabolism
MG_125_MONOMER, cofactor metabolism
MG_128_MONOMER, cofactor metabolism
MG_145_MONOMER, cofactor metabolism
MG_202_MONOMER, cofactor metabolism
MG_207_MONOMER, cofactor metabolism
MG_227_MONOMER, cofactor metabolism
MG_228_MONOMER, cofactor metabolism
MG_240_MONOMER, cofactor metabolism
