protId, method
DNA_GYRASE,PDB-homolog
DNA_POLYMERASE_2CORE_BETA_CLAMP_GAMMA_COMPLEX_PRIMASE,PDB-homolog-edit
DNA_POLYMERASE_CORE,PDB-homolog
DNA_POLYMERASE_CORE_BETA_CLAMP_GAMMA_COMPLEX,PDB-homolog-edit
DNA_POLYMERASE_CORE_BETA_CLAMP_PRIMASE,PDB-homolog-edit
DNA_POLYMERASE_GAMMA_COMPLEX,PDB-homolog-edit
DNA_POLYMERASE_HOLOENZYME,PDB-homolog-edit
MG_0001_048,PDB-homolog
MG_0003_465,PDB-homolog
MG_001_DIMER,galaxy
MG_001_MONOMER,PDB-homolog
MG_002_MONOMER,intfold
MG_003_MONOMER,PDB-homolog
MG_004_MONOMER,PDB-homolog
MG_005_DIMER,feig
MG_005_MONOMER,feig
MG_006_DIMER,feig
MG_006_MONOMER,feig
MG_007_MONOMER,PDB-homolog
MG_008_379_TETRAMER,PDB-homolog-edit
MG_008_MONOMER,PDB-homolog
MG_009_MONOMER,intfold
MG_010_MONOMER,intfold
MG_011_MONOMER,intfold
MG_012_MONOMER,intfold
MG_013_DIMER,galaxy
MG_013_MONOMER,galaxy
MG_014_015_DIMER,PDB-homolog
MG_014_MONOMER,PDB-homolog
MG_015_MONOMER,PDB-homolog
MG_018_MONOMER,itasser
MG_019_DIMER,feig
MG_019_MONOMER,feig
MG_020_MONOMER,intfold
MG_021_DIMER,galaxy
MG_021_MONOMER,galaxy
MG_022_MONOMER,feig
MG_023_DIMER,galaxy
MG_023_MONOMER,galaxy
MG_024_MONOMER,intfold
MG_025_MONOMER,intfold
MG_026_MONOMER,feig
MG_027_MONOMER,solved
MG_028_MONOMER,intfold
MG_029_DIMER,galaxy
MG_029_MONOMER,galaxy
MG_030_MONOMER,galaxy
MG_030_TRIMER,galaxy
MG_031_MONOMER,PDB-homolog
MG_032_MONOMER,intfold
MG_033_MONOMER,galaxy
MG_033_TETRAMER,galaxy
MG_034_DIMER,feig
MG_034_MONOMER,feig
MG_035_DIMER,galaxy
MG_035_MONOMER,galaxy
MG_036_DIMER,galaxy
MG_036_MONOMER,galaxy
MG_037_MONOMER,feig
MG_038_MONOMER,galaxy
MG_038_TETRAMER,galaxy
MG_039_DIMER,galaxy
MG_039_MONOMER,galaxy
MG_040_119_120_121_PENTAMER,PDB-homolog
MG_040_MONOMER,PDB-homolog
MG_041_062_429_PENTAMER,PDB-homolog-edit
MG_041_069_429_PENTAMER,PDB-homolog-edit
MG_041_MONOMER,PDB-homolog
MG_042_043_044_045_PENTAMER,PDB-homolog
MG_042_MONOMER,PDB-homolog
MG_043_MONOMER,PDB-homolog
MG_044_MONOMER,PDB-homolog
MG_045_MONOMER,PDB-homolog
MG_046_DIMER,galaxy
MG_046_MONOMER,galaxy
MG_047_MONOMER,galaxy
MG_047_TETRAMER,galaxy
MG_048_MONOMER,PDB-homolog
MG_049_HEXAMER,feig
MG_049_MONOMER,feig
MG_050_MONOMER,intfold
MG_051_DIMER,swiss
MG_051_MONOMER,swiss
MG_052_DIMER,feig
MG_052_MONOMER,feig
MG_053_MONOMER,feig
MG_053_TRIMER,feig
MG_054_MONOMER,intfold
MG_055_170_277_464_476_20MER,PDB-homolog
MG_055_MONOMER,PDB-homolog
MG_056_MONOMER,intfold
MG_057_MONOMER,intfold
MG_058_HEXAMER,galaxy
MG_058_MONOMER,galaxy
MG_059_MONOMER,intfold
MG_060_MONOMER,intfold
MG_061_MONOMER,phyre
MG_062_MONOMER,PDB-homolog
MG_063_DIMER,galaxy
MG_063_MONOMER,galaxy
MG_064_065_TETRAMER,PDB-homolog
MG_064_MONOMER,PDB-homolog
MG_065_MONOMER,PDB-homolog
MG_066_DIMER,galaxy
MG_066_MONOMER,galaxy
MG_067_MONOMER,PDB-homolog
MG_068_MONOMER,PDB-homolog
MG_069_MONOMER,PDB-homolog
MG_070_MONOMER,feig
MG_071_MONOMER,intfold
MG_072_DIMER,swiss
MG_072_MONOMER,swiss
MG_073_206_421_TETRAMER,PDB-homolog
MG_073_MONOMER,PDB-homolog
MG_074_MONOMER,intfold
MG_075_MONOMER,PDB-homolog
MG_076_MONOMER,intfold
MG_077_078_079_080_321_PENTAMER,PDB-homolog
MG_077_MONOMER,PDB-homolog
MG_078_MONOMER,PDB-homolog
MG_079_MONOMER,PDB-homolog
MG_080_MONOMER,PDB-homolog
MG_081_MONOMER,feig
MG_082_MONOMER,feig
MG_083_MONOMER,feig
MG_084_MONOMER,galaxy
MG_084_TETRAMER,galaxy
MG_085_HEXAMER,galaxy
MG_085_MONOMER,galaxy
MG_086_MONOMER,intfold
MG_087_MONOMER,feig
MG_088_MONOMER,feig
MG_089_DIMER,feig
MG_089_MONOMER,feig
MG_090_MONOMER,feig
MG_091_MONOMER,swiss
MG_091_OCTAMER,swiss
MG_091_TETRAMER,swiss
MG_092_MONOMER,feig
MG_093_MONOMER,feig
MG_094_HEXAMER,swiss
MG_094_MONOMER,PDB-homolog
MG_095_MONOMER,PDB-homolog
MG_096_MONOMER,intfold
MG_097_MONOMER,intfold
MG_098_099_100_TRIMER,PDB-homolog
MG_098_MONOMER,PDB-homolog
MG_099_MONOMER,PDB-homolog
MG_100_MONOMER,PDB-homolog
MG_101_MONOMER,intfold
MG_102_DIMER,feig
MG_102_DIMER_ox,feig
MG_102_MONOMER,feig
MG_103_MONOMER,intfold
MG_104_MONOMER,feig
MG_105_MONOMER,galaxy
MG_105_OCTAMER,galaxy
MG_106_DIMER,galaxy
MG_106_MONOMER,galaxy
MG_107_DIMER,galaxy
MG_107_MONOMER,galaxy
MG_108_MONOMER,intfold
MG_109_DIMER,galaxy
MG_109_MONOMER,galaxy
MG_110_MONOMER,raptor
MG_111_DIMER,feig
MG_111_MONOMER,feig
MG_112_DIMER,swiss
MG_112_MONOMER,swiss
MG_113_DIMER,galaxy
MG_113_MONOMER,galaxy
MG_114_DIMER,galaxy
MG_114_MONOMER,galaxy
MG_115_MONOMER,intfold
MG_116_MONOMER,intfold
MG_117_MONOMER,intfold
MG_118_DIMER,feig
MG_118_MONOMER,feig
MG_119_MONOMER,PDB-homolog
MG_120_MONOMER,PDB-homolog
MG_121_MONOMER,PDB-homolog
MG_122_MONOMER,intfold
MG_123_DIMER,PDB-homolog
MG_123_MONOMER,PDB-homolog
MG_124_MONOMER,intfold
MG_124_MONOMER_ox,intfold
MG_125_MONOMER,feig
MG_126_DIMER,galaxy
MG_126_MONOMER,galaxy
MG_127_MONOMER,intfold
MG_127_MONOMER_ox,intfold
MG_128_HEXAMER,galaxy
MG_128_MONOMER,galaxy
MG_129_MONOMER,intfold
MG_130_MONOMER,PDB-homolog
MG_131_MONOMER,intfold
MG_132_DIMER,feig
MG_132_MONOMER,feig
MG_133_MONOMER,itasser
MG_134_MONOMER,intfold
MG_135_MONOMER,intfold
MG_136_DIMER,feig
MG_136_MONOMER,feig
MG_137_DIMER,feig
MG_137_MONOMER,feig
MG_138_MONOMER,feig
MG_139_DIMER,galaxy
MG_139_MONOMER,galaxy
MG_140_MONOMER,phyre
MG_141_MONOMER,phyre
MG_142_MONOMER,feig
MG_143_MONOMER,intfold
MG_144_MONOMER,PDB-homolog
MG_145_MONOMER,feig
MG_146_MONOMER,raptor
MG_147_MONOMER,raptor
MG_148_MONOMER,PDB-homolog
MG_149_MONOMER,intfold
MG_150_MONOMER,feig
MG_151_MONOMER,feig
MG_152_MONOMER,feig
MG_153_MONOMER,feig
MG_154_MONOMER,feig
MG_155_MONOMER,feig
MG_156_MONOMER,feig
MG_157_MONOMER,feig
MG_158_MONOMER,feig
MG_159_MONOMER,feig
MG_160_MONOMER,feig
MG_161_MONOMER,feig
MG_162_MONOMER,feig
MG_163_MONOMER,feig
MG_164_MONOMER,feig
MG_165_MONOMER,feig
MG_166_MONOMER,feig
MG_167_MONOMER,feig
MG_168_MONOMER,feig
MG_169_MONOMER,feig
MG_170_MONOMER,PDB-homolog
MG_171_MONOMER,feig
MG_172_MONOMER,intfold
MG_173_MONOMER,feig
MG_174_MONOMER,feig
MG_175_MONOMER,feig
MG_176_MONOMER,swiss
MG_177_MONOMER,feig
MG_178_MONOMER,feig
MG_179_180_181_TETRAMER,PDB-homolog
MG_179_MONOMER,PDB-homolog
MG_180_MONOMER,PDB-homolog
MG_181_MONOMER,PDB-homolog
MG_182_DIMER,galaxy
MG_182_MONOMER,galaxy
MG_183_MONOMER,intfold
MG_184_DIMER,PDB-homolog
MG_184_MONOMER,PDB-homolog
MG_185_MONOMER,phyre
MG_186_187_188_189_PENTAMER,PDB-homolog
MG_186_MONOMER,PDB-homolog
MG_187_MONOMER,PDB-homolog
MG_188_MONOMER,PDB-homolog
MG_189_MONOMER,PDB-homolog
MG_190_MONOMER,intfold
MG_191_MONOMER,solved
MG_192_MONOMER,solved
MG_194_195_TETRAMER,feig
MG_194_MONOMER,feig
MG_195_MONOMER,feig
MG_196_MONOMER,swiss
MG_197_MONOMER,feig
MG_198_MONOMER,feig
MG_199_MONOMER,intfold
MG_200_MONOMER,itasser
MG_201_DIMER,swiss
MG_201_MONOMER,swiss
MG_202_MONOMER,intfold
MG_203_204_TETRAMER,PDB-homolog-edit
MG_203_MONOMER,PDB-homolog
MG_204_MONOMER,PDB-homolog
MG_205_DIMER,swiss
MG_205_MONOMER,swiss
MG_206_MONOMER,PDB-homolog
MG_207_MONOMER,intfold
MG_208_DIMER,galaxy
MG_208_MONOMER,galaxy
MG_209_MONOMER,intfold
MG_210_MONOMER,intfold
MG_211_MONOMER,intfold
MG_212_MONOMER,intfold
MG_213_214_298_6MER,PDB-homolog-edit
MG_213_214_298_6MER_ADP,PDB-homolog-edit
MG_213_MONOMER,PDB-homolog-edit
MG_214_MONOMER,PDB-homolog-edit
MG_215_MONOMER,feig
MG_215_TETRAMER,feig
MG_216_MONOMER,galaxy
MG_216_TETRAMER,galaxy
MG_217_MONOMER,intfold
MG_218_MONOMER,intfold
MG_219_MONOMER,intfold
MG_220_MONOMER,intfold
MG_221_MONOMER,galaxy
MG_221_OCTAMER,galaxy
MG_222_MONOMER,intfold
MG_223_MONOMER,intfold
MG_224_2MER_GTP,PDB-homolog
MG_224_3MER_GTP,PDB-homolog-edit
MG_224_4MER_GTP,PDB-homolog-edit
MG_224_5MER_GTP,PDB-homolog-edit
MG_224_6MER_GTP,PDB-homolog-edit
MG_224_7MER_GTP,PDB-homolog-edit
MG_224_8MER_GTP,PDB-homolog-edit
MG_224_9MER_GDP,PDB-homolog-edit
MG_224_9MER_GTP,PDB-homolog-edit
MG_224_MONOMER,PDB-homolog
MG_224_MONOMER_GDP,PDB-homolog
MG_224_MONOMER_GTP,PDB-homolog
MG_225_DIMER,galaxy
MG_225_MONOMER,galaxy
MG_226_DIMER,galaxy
MG_226_MONOMER,galaxy
MG_227_DIMER,galaxy
MG_227_MONOMER,galaxy
MG_228_MONOMER,feig
MG_228_TETRAMER,feig
MG_229_231_TETRAMER,PDB-homolog
MG_229_231_TETRAMER_ox,PDB-homolog
MG_229_MONOMER,PDB-homolog
MG_230_MONOMER,feig
MG_231_MONOMER,PDB-homolog
MG_232_MONOMER,feig
MG_233_MONOMER,intfold
MG_234_MONOMER,feig
MG_235_MONOMER,intfold
MG_236_MONOMER,raptor
MG_237_MONOMER,intfold
