#coordinate: refers to the START of RNApoly
 #state: -3=>promoter bound; -2=>free; -1=>non-specifically bound; 0=>not exist; 1=>actively transcribing
 #TU not for mRNA=> TU_088: rRNA; TU_178/TU_181/TU_226/TU_227: sRNA;TU_007/TU_037/TU_123/TU_134/TU_135/TU_136/TU_137/TU_138/TU_139/TU_140/TU_141/TU_146/TU_166/TU_168/TU_172/TU_187/TU_188/TU_189/TU_194/TU_220/TU_221/TU_223/TU_248/TU_250/TU_252/TU_276: tRNA
 coordinate (nt), strand, state, transcript length (nt), TranscriptionUnit id
309158,1,1522,1522,170
149672,1,4700,4700,74
94434,1,2511,2511,45
173675,1,3669,3669,88
474586,2,307,307,272
140731,1,692,692,70
526354,2,-1,0,0
308572,1,936,936,170
286466,2,367,367,156
236225,1,709,709,120
232091,1,-1,0,0
412640,2,295,295,231
0,0,0,0,0
346422,1,1241,1241,191
22693,1,305,305,10
4043,1,1199,1199,2
494493,2,2468,2468,285
432865,2,5776,5776,242
277724,1,3072,3072,151
295991,2,1616,1616,163
329287,2,1699,1699,180
222286,1,717,717,118
300153,2,652,652,164
67062,2,164,164,33
331975,2,2799,2799,182
8803,1,1510,1510,3
70482,2,-3,0,37
182696,1,1692,1692,92
426453,2,460,460,240
135888,1,1120,1120,68
460216,1,602,602,263
278795,1,4143,4143,151
239148,1,1802,1802,122
399903,1,36,36,220
276949,1,2297,2297,151
5238,1,2394,2394,2
501344,2,1077,1077,288
170072,1,66,66,88
26370,1,335,335,11
331446,2,3328,3328,182
478494,1,1327,1327,275
419222,2,259,259,234
171721,1,1715,1715,88
446259,2,7,7,250
562274,2,331,331,326
30255,1,704,704,13
257753,1,12,12,140
125510,1,1094,1094,62
436906,2,1735,1735,242
508682,2,331,331,292
522737,2,8481,8481,301
343992,2,134,134,187
145537,1,565,565,74
198797,1,1621,1621,104
403163,2,539,539,223
561118,2,1487,1487,326
115572,1,2855,2855,55
329465,2,1521,1521,180
440005,2,351,351,244
366000,2,2531,2531,202
403312,2,390,390,223
447263,1,688,688,251
332200,2,2574,2574,182
371900,2,64,64,204
235280,1,3272,3272,119
285284,1,1889,1889,155
403650,2,52,52,223
257866,1,49,49,141
403435,2,267,267,223
437499,2,1142,1142,242
323371,2,1789,1789,176
0,0,0,0,0
438299,2,342,342,242
283532,1,137,137,155
240241,2,46,46,123
330655,2,331,331,180
