#DNA_BINDING PROTEINS
MONOMERS FRAME  149
COMPLEXES FRAME  145
protId, coordinates, strand, dna_footprint
MG_101_MONOMER,128634,1,30
MG_236_MONOMER,353973,1,36
MG_213_214_298_6MER_ADP,2276,1,630
RNA_POLYMERASE,3341,1,75
MG_469_1MER_ATP,3785,1,11
RNA_POLYMERASE,7829,1,75
MG_213_214_298_6MER_ADP,8377,1,630
DNA_GYRASE,9793,1,140
RNA_POLYMERASE,11208,1,75
DNA_GYRASE,13088,1,140
MG_213_214_298_6MER_ADP,13698,1,630
DNA_GYRASE,14351,1,140
MG_213_214_298_6MER_ADP,20921,1,630
DNA_GYRASE,23709,1,140
DNA_GYRASE,23967,1,140
MG_213_214_298_6MER_ADP,26253,1,630
MG_213_214_298_6MER_ADP,32028,1,630
DNA_GYRASE,37193,1,140
MG_469_1MER_ATP,37712,1,11
DNA_GYRASE,38220,1,140
MG_213_214_298_6MER_ADP,40694,1,630
MG_469_1MER_ATP,41623,1,11
MG_213_214_298_6MER_ADP,46471,1,630
MG_469_1MER_ATP,47723,1,11
RNA_POLYMERASE,48788,1,75
DNA_GYRASE,52178,1,140
MG_469_1MER_ATP,54646,1,11
MG_213_214_298_6MER_ADP,55459,1,630
RNA_POLYMERASE,59694,1,75
DNA_GYRASE,60441,1,140
MG_213_214_298_6MER_ADP,61705,1,630
DNA_GYRASE,64088,1,140
MG_213_214_298_6MER_ADP,67473,1,630
MG_213_214_298_6MER_ADP,73523,1,630
MG_469_1MER_ATP,75017,1,11
DNA_GYRASE,77612,1,140
MG_469_1MER_ATP,78640,1,11
MG_213_214_298_6MER_ADP,79069,1,630
MG_469_1MER_ATP,82676,1,11
MG_213_214_298_6MER_ADP,85831,1,630
DNA_GYRASE,89505,1,140
MG_469_1MER_ATP,90404,1,11
MG_213_214_298_6MER_ADP,92117,1,630
DNA_GYRASE,93630,1,140
DNA_GYRASE,94327,1,140
MG_469_1MER_ATP,96576,1,11
RNA_POLYMERASE,98288,1,75
MG_213_214_298_6MER_ADP,98932,1,630
MG_213_214_298_6MER_ADP,104762,1,630
MG_469_1MER_ATP,105477,1,11
RNA_POLYMERASE,108620,1,75
RNA_POLYMERASE,109978,1,75
MG_469_1MER_ATP,113213,1,11
MG_213_214_298_6MER_ADP,113333,1,630
MG_469_1MER_ATP,116369,1,11
MG_213_214_298_6MER_ADP,120417,1,630
MG_213_214_298_6MER_ADP,125795,1,630
MG_469_1MER_ATP,127943,1,11
MG_428_DIMER,128603,1,28
RNA_POLYMERASE,129276,1,75
MG_213_214_298_6MER_ADP,133782,1,630
MG_213_214_298_6MER_ADP,140006,1,630
DNA_GYRASE,143586,1,140
RNA_POLYMERASE_HOLOENZYME,144972,1,75
MG_213_214_298_6MER_ADP,147442,1,630
MG_469_1MER_ATP,151862,1,11
DNA_GYRASE,152028,1,140
MG_213_214_298_6MER_ADP,152725,1,630
DNA_GYRASE,153901,1,140
RNA_POLYMERASE,155914,1,75
MG_213_214_298_6MER_ADP,158190,1,630
MG_213_214_298_6MER_ADP,163644,1,630
RNA_POLYMERASE,167180,1,75
DNA_GYRASE,168480,1,140
MG_213_214_298_6MER_ADP,169272,1,630
RNA_POLYMERASE,170008,1,75
RNA_POLYMERASE,172011,1,75
DNA_GYRASE,172671,1,140
MG_213_214_298_6MER_ADP,175100,1,630
MG_213_214_298_6MER_ADP,180831,1,630
DNA_GYRASE,188789,1,140
MG_469_1MER_ATP,189718,1,11
MG_213_214_298_6MER_ADP,189787,1,630
DNA_GYRASE,191813,1,140
RNA_POLYMERASE,194464,1,75
MG_213_214_298_6MER_ADP,195454,1,630
RNA_POLYMERASE,197760,1,75
MG_469_1MER_ATP,201589,1,11
RNA_POLYMERASE,204151,1,75
MG_213_214_298_6MER_ADP,204237,1,630
MG_213_214_298_6MER_ADP,209570,1,630
RNA_POLYMERASE,210598,1,75
MG_469_1MER_ATP,211434,1,11
RNA_POLYMERASE,213055,1,75
DNA_GYRASE,213276,1,140
MG_213_214_298_6MER_ADP,215261,1,630
MG_469_1MER_ATP,216846,1,11
DNA_GYRASE,221958,1,140
MG_213_214_298_6MER_ADP,223320,1,630
DNA_GYRASE,225517,1,140
MG_213_214_298_6MER_ADP,229475,1,630
