name, molecular_weight, confidence (HHpred),pdb, selection, bu, uniprot, label, surface, compartment, comments, complexation, template, quality (modfold=monomers/voroMQA=complexes), offset, pcpalAxis, protein copy number, method, dsDNA-binding, function 
DNA_GYRASE,332712,92.831431725,6RKW, or :A or :C or :B or :D,AU,,DNA gyrase,,auto_root.mge,c,1.0,-,-1,"2,-4,9","-0.56,-0.82,0.09",0,PDB-homolog,1,DNA replication/maintenance
DNA_POLYMERASE_2CORE_BETA_CLAMP_GAMMA_COMPLEX_PRIMASE,,87.31054889361111,5FKW, or :A or :B or :C or :D ,AU,,DNA polymerase (2) core; beta-clamp; epsilon-complex; and primase,,auto_root.mge,c,1.0,-,0.503911,"0,0,0","0,0,1",0,PDB-homolog,0,DNA replication/maintenance
DNA_POLYMERASE_CORE,264583,90.336775555,5FKW, or :A or :B or :C or :D,AU,,DNA-directed DNA polymerase,,auto_root.mge,c,1.0,-,0.503911,"0,0,0","0,0,1",11,PDB-homolog,0,DNA replication/maintenance
DNA_POLYMERASE_CORE_BETA_CLAMP_GAMMA_COMPLEX,,90.30090457416667,1JR3,,BU1,,DNA polymerase core; beta-clamp; epsilon-complex,,auto_root.mge,c,1.0,-,0.510234,"0,0,0","0,0,1",0,PDB-homolog,0,DNA replication/maintenance
DNA_POLYMERASE_CORE_BETA_CLAMP_PRIMASE,,90.66491876625001,2HPI,,BU1,,DNA polymerase core; beta-clamp; epsilon-complex,,auto_root.mge,c,1.0,-,0.524795,"0,0,0","0,0,1",0,PDB-homolog,0,DNA replication/maintenance
DNA_POLYMERASE_GAMMA_COMPLEX,336447,70.86684274166667,1JR3,,BU1,,DNA-directed DNA polymerase gamma complex,,auto_root.mge,c,1.0,-,0.510234,"0,0,0","0,0,1",10,PDB-homolog,0,DNA replication/maintenance
DNA_POLYMERASE_HOLOENZYME,954201,90.30807877033334,1JR3,,BU1,,DNA-directed DNA polymerase holoenzyme,,auto_root.mge,c,1.0,-,0.510234,"0,0,0","0,0,1",0,PDB-homolog,0,DNA replication/maintenance
MG_0001_048,,97.08520179,3DM5,,1,,signal recognition particle,,auto_root.mge,c,1.0,-,0.508459,"0,0,0","0,0,1",32,PDB-homolog,0,protein transport/singaling
MG_0003_465,,92.87578125,6d1r,,AU,,ribonuclease P,,auto_root.mge,c,1.0,-,-1,"0,0,0","0,0,1",22,PDB-homolog,0,RNA synthesis/maturation
MG_001_DIMER,,100.0,5FKW,,AU,,DNA polymerase III; beta clamp,,auto_root.mge,c,1.0,-,0.503911,"0,0,0","0,0,1",0,PDB-homolog,0,DNA replication/maintenance
MG_005_DIMER,95229.6,100.0,2DQ3,,BU1,,seryl-tRNA synthetase,,auto_root.mge,c,1.0,-,0.500883,"0,0,0","0,0,1",160,PDB-homolog,0,RNA synthesis/maturation
MG_006_DIMER,48496.2,98.47285714,3LV8,,BU1,,thymidylate kinase,,auto_root.mge,c,1.0,-,0.494645,"0,0,0","0,0,1",161,PDB-homolog,0,metabolism
