# #name, id, TU, TU length, copy id, ribosome_position (in RIBOSOME)
mRNA,0,TU_005,1732,1, 0
mRNA,1,TU_010,3618,1, 0
mRNA,2,TU_011,2414,1, 0
mRNA,3,TU_013,1602,1, 0
mRNA,4,TU_017,642,1, 0
mRNA,5,TU_027,2083,1, 0
mRNA,6,TU_041,1947,1, 0
mRNA,7,TU_046,2421,2, 0
mRNA,8,TU_046,2421,2, 0
mRNA,9,TU_056,627,1, 0
mRNA,10,TU_057,483,2, 0
mRNA,11,TU_057,483,2, 0
mRNA,12,TU_058,318,1, 0
mRNA,13,TU_059,3043,2, 0
mRNA,14,TU_059,3043,2, 0
mRNA,15,TU_065,2178,1, 0
mRNA,16,TU_073,2396,1, 0
mRNA,17,TU_074,6356,1, 0
mRNA,18,TU_086,4425,1, 0
mRNA,19,TU_092,3049,1, 0
mRNA,20,TU_099,321,1, 0
mRNA,21,TU_102,4894,1, 0
mRNA,22,TU_107,1742,1, 0
mRNA,23,TU_108,372,1, 0
mRNA,24,TU_111,1263,1, 0
mRNA,25,TU_115,753,1, 0
mRNA,26,TU_116,3678,1, 0
mRNA,27,TU_118,7498,1, 0
mRNA,28,TU_120,1105,1, 0
mRNA,29,TU_125,1032,1, 0
mRNA,30,TU_130,189,3, 0
mRNA,31,TU_130,189,3, 0
mRNA,32,TU_130,189,3, 0
mRNA,33,TU_148,1110,1, 0
mRNA,34,TU_152,2182,1, 0
mRNA,35,TU_156,1053,1, 0
mRNA,36,TU_173,4361,1, 0
mRNA,37,TU_182,3539,3, 0
mRNA,38,TU_182,3539,3, 0
mRNA,39,TU_182,3539,3, 0
mRNA,40,TU_185,2163,1, 0
mRNA,41,TU_193,255,1, 0
mRNA,42,TU_196,3455,1, 0
mRNA,43,TU_202,2949,2, 0
mRNA,44,TU_202,2949,2, 0
mRNA,45,TU_206,1074,1, 0
mRNA,46,TU_213,618,1, 0
mRNA,47,TU_258,2145,1, 0
mRNA,48,TU_266,936,1, 0
mRNA,49,TU_268,3438,1, 0
mRNA,50,TU_278,747,1, 0
mRNA,51,TU_291,2396,1, 0
mRNA,52,TU_294,1377,1, 0
mRNA,53,TU_299,399,2, 0
mRNA,54,TU_299,399,2, 0
mRNA,55,TU_302,261,5, 0
mRNA,56,TU_302,261,5, 0
mRNA,57,TU_302,261,5, 0
mRNA,58,TU_302,261,5, 0
mRNA,59,TU_302,261,5, 0
mRNA,60,TU_309,897,3, 0
mRNA,61,TU_309,897,3, 0
mRNA,62,TU_309,897,3, 0
mRNA,63,TU_310,732,1, 0
mRNA,64,TU_314,819,1, 0
mRNA,65,TU_321,2057,1, 0
mRNA,66,TU_326,2109,1, 0
mRNA,67,TU_332,147,1, 0
mRNA,68,TU_333,6291,1, 0
RIBOSOME,0,TU_005,1732,0, 213
RIBOSOME,1,TU_005,1732,0, 273
RIBOSOME,2,TU_011,2414,2, 90
RIBOSOME,3,TU_013,1602,3, 1233
RIBOSOME,4,TU_017,642,4, 108
RIBOSOME,5,TU_041,1947,6, 849
RIBOSOME,6,TU_046,2421,7, 480
RIBOSOME,7,TU_056,627,9, 30
RIBOSOME,8,TU_059,3043,14, 432
RIBOSOME,9,TU_059,3043,13, 2191
RIBOSOME,10,TU_059,3043,13, 2638
RIBOSOME,11,TU_059,3043,13, 2698
RIBOSOME,12,TU_059,3043,14, 2638
RIBOSOME,13,TU_059,3043,14, 2698
RIBOSOME,14,TU_074,6356,17, 2037
RIBOSOME,15,TU_074,6356,17, 2832
RIBOSOME,16,TU_074,6356,17, 3893
RIBOSOME,17,TU_074,6356,17, 5993
RIBOSOME,18,TU_074,6356,17, 6053
RIBOSOME,19,TU_074,6356,17, 6113
RIBOSOME,20,TU_086,4425,18, 2506
RIBOSOME,21,TU_086,4425,18, 3588
RIBOSOME,22,TU_092,3049,19, 2806
RIBOSOME,23,TU_102,4894,21, 522
RIBOSOME,24,TU_102,4894,21, 2468
RIBOSOME,25,TU_102,4894,21, 4735
RIBOSOME,26,TU_107,1742,22, 255
RIBOSOME,27,TU_107,1742,22, 1082
RIBOSOME,28,TU_116,3678,26, 1982
RIBOSOME,29,TU_116,3678,26, 2702
RIBOSOME,30,TU_116,3678,26, 2961
RIBOSOME,31,TU_118,7498,27, 180
RIBOSOME,32,TU_118,7498,27, 240
RIBOSOME,33,TU_118,7498,27, 1056
RIBOSOME,34,TU_118,7498,27, 1134
RIBOSOME,35,TU_118,7498,27, 1821
RIBOSOME,36,TU_118,7498,27, 3009
RIBOSOME,37,TU_118,7498,27, 4885
RIBOSOME,38,TU_118,7498,27, 5041
RIBOSOME,39,TU_125,1032,29, 720
RIBOSOME,40,TU_152,2182,34, 1278
RIBOSOME,41,TU_156,1053,35, 342
RIBOSOME,42,TU_156,1053,35, 438
RIBOSOME,43,TU_156,1053,35, 813
RIBOSOME,44,TU_173,4361,36, 2121
RIBOSOME,45,TU_173,4361,36, 2181
RIBOSOME,46,TU_173,4361,36, 2316
RIBOSOME,47,TU_182,3539,39, 3131
RIBOSOME,48,TU_182,3539,38, 3509
RIBOSOME,49,TU_182,3539,39, 1464
RIBOSOME,50,TU_182,3539,38, 336
RIBOSOME,51,TU_182,3539,37, 336
RIBOSOME,52,TU_196,3455,42, 1426
RIBOSOME,53,TU_196,3455,42, 1883
RIBOSOME,54,TU_202,2949,44, 2673
RIBOSOME,55,TU_258,2145,47, 30
RIBOSOME,56,TU_268,3438,49, 3252
RIBOSOME,57,TU_268,3438,49, 3312
RIBOSOME,58,TU_268,3438,49, 2102
RIBOSOME,59,TU_268,3438,49, 2567
RIBOSOME,60,TU_268,3438,49, 990
RIBOSOME,61,TU_268,3438,49, 1551
RIBOSOME,62,TU_278,747,50, 441
RIBOSOME,63,TU_291,2396,51, 1901
RIBOSOME,64,TU_294,1377,52, 741
RIBOSOME,65,TU_302,261,58, 48
RIBOSOME,66,TU_309,897,60, 114
RIBOSOME,67,TU_309,897,60, 174
RIBOSOME,68,TU_321,2057,65, 1490
