RNA_POLY   75.00 RPL
DNA_GYRA   50.00 GYR
DNA_POLY   90.00 DPL
MG_091_O   40.00 SSB
MG_094_H   90.00 HEL
MG_101_M   30.00 HTH
MG_205_D   40.00 HRC
MG_213_2   45.00 SMC
MG_236_M   30.00 RAP
MG_428_D   30.00 LUX
MG_469_1   35.00 DAM
MG_469_2   35.00 DAM
MG_469_3   35.00 DAM
MG_469_4   35.00 DAM
MG_469_5   35.00 DAM
MG_469_6   35.00 DAM
MG_469_7   35.00 DAM
