PROTEIN COUNT MONOMERS FRAME  1184,,,,,,
PROTEIN COUNT COMPLEXES FRAME  1189,,,,,,
protId, coordinates, strand, dna_footprint,,,
DNA_GYRASE,13597,1,140,,,
DNA_GYRASE,16509,1,140,,,
DNA_GYRASE,21245,1,140,,,
DNA_GYRASE,25174,1,140,,,
DNA_GYRASE,30691,1,140,,,
DNA_GYRASE,33264,1,140,,,
DNA_GYRASE,45238,1,140,,,
DNA_GYRASE,49714,1,140,,,
DNA_GYRASE,66424,1,140,,,
DNA_GYRASE,72263,1,140,,,
DNA_GYRASE,78771,1,140,,,
DNA_GYRASE,83397,1,140,,,
DNA_GYRASE,100471,1,140,,,
DNA_GYRASE,107508,1,140,,,
DNA_GYRASE,153866,1,140,,,
DNA_GYRASE,157114,1,140,,,
DNA_GYRASE,159809,1,140,,,
DNA_GYRASE,186215,1,140,,,
DNA_GYRASE,225603,1,140,,,
DNA_GYRASE,244189,1,140,,,
DNA_GYRASE,248101,1,140,,,
DNA_GYRASE,251615,1,140,,,
DNA_GYRASE,265160,1,140,,,
DNA_GYRASE,299735,1,140,,,
DNA_GYRASE,330069,1,140,,,
DNA_GYRASE,360186,1,140,,,
DNA_GYRASE,372755,1,140,,,
DNA_GYRASE,383359,1,140,,,
DNA_GYRASE,389823,1,140,,,
DNA_GYRASE,390454,1,140,,,
DNA_GYRASE,412836,1,140,,,
DNA_GYRASE,413749,1,140,,,
DNA_GYRASE,417826,1,140,,,
DNA_GYRASE,418133,1,140,,,
DNA_GYRASE,429437,1,140,,,
DNA_GYRASE,455903,1,140,,,
DNA_GYRASE,463430,1,140,,,
DNA_GYRASE,492119,1,140,,,
DNA_GYRASE,514376,1,140,,,
DNA_GYRASE,514992,1,140,,,
DNA_GYRASE,519716,1,140,,,
DNA_GYRASE,522902,1,140,,,
DNA_GYRASE,537678,1,140,,,
DNA_GYRASE,549164,1,140,,,
DNA_GYRASE,550911,1,140,,,
DNA_GYRASE,551193,1,140,,,
DNA_GYRASE,559634,1,140,,,
DNA_GYRASE,566737,1,140,,,
MG_101_MONOMER,128634,1,30,,,
MG_205_DIMER,376752,1,33,,,
MG_213_214_298_6MER_ADP,1732,1,630,,,
MG_213_214_298_6MER_ADP,7771,1,630,,,
MG_213_214_298_6MER_ADP,13879,1,630,,,
MG_213_214_298_6MER_ADP,21415,1,630,,,
MG_213_214_298_6MER_ADP,28662,1,630,,,
MG_213_214_298_6MER_ADP,34070,1,630,,,
MG_213_214_298_6MER_ADP,39900,1,630,,,
MG_213_214_298_6MER_ADP,45995,1,630,,,
MG_213_214_298_6MER_ADP,54196,1,630,,,
MG_213_214_298_6MER_ADP,60436,1,630,,,
MG_213_214_298_6MER_ADP,65756,1,630,,,
MG_213_214_298_6MER_ADP,71397,1,630,,,
MG_213_214_298_6MER_ADP,78051,1,630,,,
MG_213_214_298_6MER_ADP,84332,1,630,,,
MG_213_214_298_6MER_ADP,89795,1,630,,,
MG_213_214_298_6MER_ADP,97064,1,630,,,
MG_213_214_298_6MER_ADP,103447,1,630,,,
MG_213_214_298_6MER_ADP,111219,1,630,,,
MG_213_214_298_6MER_ADP,116732,1,630,,,
MG_213_214_298_6MER_ADP,124515,1,630,,,
MG_213_214_298_6MER_ADP,130006,1,630,,,
MG_213_214_298_6MER_ADP,136609,1,630,,,
MG_213_214_298_6MER_ADP,143472,1,630,,,
MG_213_214_298_6MER_ADP,151450,1,630,,,
MG_213_214_298_6MER_ADP,157825,1,630,,,
MG_213_214_298_6MER_ADP,163757,1,630,,,
MG_213_214_298_6MER_ADP,169194,1,630,,,
MG_213_214_298_6MER_ADP,174802,1,630,,,
MG_213_214_298_6MER_ADP,181171,1,630,,,
MG_213_214_298_6MER_ADP,190500,1,630,,,
MG_213_214_298_6MER_ADP,196085,1,630,,,
MG_213_214_298_6MER_ADP,202200,1,630,,,
