name, molecular_weight, confidence (HHpred),pdb, selection, bu, uniprot, label, surface, compartment, comments, complexation, template, quality (modfold=monomers/voroMQA=complexes), offset, pcpalAxis, protein copy number, method, dsDNA-binding, function 
DNA_GYRASE,332712,92.831431725,6RKW, or :A or :C or :B or :D,AU,,DNA gyrase,,curated_root.mge,c,1.0,-,-1,"2,-4,9","-0.56,-0.82,0.09",0,PDB-homolog,1,DNA replication/maintenance
DNA_POLYMERASE_2CORE_BETA_CLAMP_GAMMA_COMPLEX_PRIMASE,,87.31054889361111,DNA_POLYMERASE_2CORE_BETA_CLAMP_GAMMA_COMPLEX_PRIMASE.pdb, or :J or :K or :X or :A or :C or :L or :M or :O or :P or :T,AU,,DNA polymerase (2) core; beta-clamp; epsilon-complex; and primase,,curated_root.mge,c,1.0,-,0.448199,"5,-1,36","-0.06,-0.01,-1",0,PDB-homolog (manually assembled),0,DNA replication/maintenance
DNA_POLYMERASE_CORE,264583,90.336775555,5FKW, or :A or :B or :C or :D,AU,,DNA-directed DNA polymerase,,curated_root.mge,c,1.0,-,0.503911,"0,0,0","0,0,1",11,PDB-homolog,0,DNA replication/maintenance
DNA_POLYMERASE_CORE_BETA_CLAMP_GAMMA_COMPLEX,,90.30090457416667,DNA_POLYMERASE_CORE_BETA_CLAMP_GAMMA_COMPLEX.pdb, or :X or :A or :K or :J or :L or :T or :O or :P or :M,AU,,DNA polymerase core; beta-clamp; epsilon-complex,,curated_root.mge,c,1.0,-,0.46354,"0,0,0","0,0,1",0,PDB-homolog (manually assembled),0,DNA replication/maintenance
DNA_POLYMERASE_CORE_BETA_CLAMP_PRIMASE,,90.66491876625001,DNA_POLYMERASE_CORE_BETA_CLAMP_PRIMASE.pdb,,AU,,DNA polymerase core; beta-clamp; epsilon-complex,,curated_root.mge,c,1.0,-,0.490308,"0,0,0","0,0,1",0,PDB-homolog (manually assembled),0,DNA replication/maintenance
DNA_POLYMERASE_GAMMA_COMPLEX,336447,70.86684274166667,DNA_POLYMERASE_GAMMA_COMPLEX.pdb,,AU,,DNA-directed DNA polymerase gamma complex,,curated_root.mge,c,1.0,-,0.438751,"0,0,0","0,0,1",10,PDB-homolog (manually assembled),0,DNA replication/maintenance
DNA_POLYMERASE_HOLOENZYME,954201,90.30807877033334,DNA_POLYMERASE_HOLOENZYME.pdb, or :J or :K or :X or :A or :L or :M or :O or :P or :T,AU,,DNA-directed DNA polymerase holoenzyme,,curated_root.mge,c,1.0,-,0.462091,"0,0,0","0,0,1",0,PDB-homolog (manually assembled),0,DNA replication/maintenance
MG_0001_048,,97.08520179,3DM5,,1,,signal recognition particle,,curated_root.mge,c,1.0,-,0.508459,"0,0,0","0,0,1",32,PDB-homolog,0,protein transport/singaling
MG_0003_465,,92.87578125,6d1r,,AU,,ribonuclease P,,curated_root.mge,c,1.0,-,-1,"0,0,0","0,0,1",22,PDB-homolog,0,RNA synthesis/maturation
MG_001_DIMER,,100.0,MG_001_DIMER_g.pdb, or :A or :B,AU,,DNA polymerase III; beta clamp,,curated_root.mge,c,1.0,5w7z,0.460833,"0,0,0","0,0,1",0,Homology Modeling,0,DNA replication/maintenance
MG_005_DIMER,95229.6,100.0,sers.pdb, or :A or :B,AU,,seryl-tRNA synthetase,,curated_root.mge,c,1.0,2DQ3_A; 1SER_B,0.341066,"0,0,0","0,0,1",160,CYT-MG-model,0,RNA synthesis/maturation
MG_006_DIMER,48496.2,98.47285714,tmk.pdb,,AU,,thymidylate kinase,,curated_root.mge,c,1.0,3LV8_A,0.329056,"0,0,0","0,0,1",161,CYT-MG-model,0,metabolism
MG_008_379_TETRAMER,238858,100.0,3geh_2zxi.pdb,,AU,,tRNA uridine 5-carboxymethylaminomethyl modification enzyme,,curated_root.mge,c,1.0,-,0.487102,"0,0,0","0,0,1",14,PDB-homolog (manually assembled),0,RNA synthesis/maturation
MG_013_DIMER,59425.2,98.53479853,MG_013_DIMER_g.pdb,,AU,,methylenetetrahydrofolate dehydrogenase/methylenetetrahydrofolate cyclohydrolase,,curated_root.mge,c,1.0,4B4U,0.492954,"0,0,0","0,0,1",12,Homology Modeling,0,metabolism
MG_014_015_DIMER,134546,99.58945025,4Q4H,,AU,,multidrug ABC transporter,TRUE,curated_root.mge,m,1.0,-,0.509286,"1,0,-37","0,0,1",18,PDB-homolog,0,protein transport/singaling
MG_019_DIMER,87491.6,95.88688946,dnaj.pdb, or :A or :B,AU,,chaperone protein DnaJ,,curated_root.mge,c,1.0,2KHO_A,0.232314,"0,0,0","0,0,1",12,CYT-MG-model,0,protein folding/maturation
MG_021_DIMER,116663,100.0,MG_021_DIMER_g.pdb,,AU,,methionyl-tRNA synthetase,,curated_root.mge,c,1.0,na,0.494697,"0,0,0","0,0,1",17,Homology Modeling,0,RNA synthesis/maturation
MG_023_DIMER,62248,100.0,MG_023_DIMER_g.pdb,,AU,,fructose-1;6-bisphosphate aldolase; class II,,curated_root.mge,c,1.0,3Q94,0.534624,"0,0,0","0,0,1",134,Homology Modeling,0,metabolism
MG_029_DIMER,41768.6,97.84946237,MG_029_DIMER_g.pdb,,AU,,DJ-1/PfpI family protein,,curated_root.mge,c,1.0,3EWN,0.498344,"0,0,0","0,0,1",20,Homology Modeling,0,metabolism
MG_030_TRIMER,68919,100.0,MG_030_TRIMER_g.pdb,,AU,,uracil phosphoribosyltransferase,,curated_root.mge,c,1.0,1o5o,0.610096,"0,0,0","0,0,1",16,Homology Modeling,0,metabolism
MG_033_TETRAMER,105452,99.2248062,MG_033_TETRAMER_g.pdb,,AU,,glycerol uptake facilitator,TRUE,curated_root.mge,m,1.0,1ldf,0.461357,"0,0,0","0,0,1",14,Homology Modeling,0,protein transport/singaling
MG_034_DIMER,47456.6,92.48826291,tdk.pdb,,AU,,thymidine kinase,,curated_root.mge,c,1.0,2UZ3_ABCD,0.259789,"0,0,0","0,0,1",29,CYT-MG-model,0,metabolism
MG_035_DIMER,94785.6,99.51690821,MG_035_DIMER_g.pdb,,AU,,histidyl-tRNA synthetase,,curated_root.mge,c,1.0,4e+51,0.494281,"0,0,0","0,0,1",24,Homology Modeling,0,RNA synthesis/maturation
MG_036_DIMER,125868,99.09090909,MG_036_DIMER_g.pdb,,AU,,aspartyl-tRNA synthetase,,curated_root.mge,c,1.0,4RMF,0.487547,"0,0,0","0,0,1",15,Homology Modeling,0,RNA synthesis/maturation
MG_038_TETRAMER,217924,99.21259843,MG_038_TETRAMER_g.pdb,,AU,,glycerol kinase,,curated_root.mge,c,1.0,1GLF,0.51174,"0,0,0","0,0,1",25,Homology Modeling,0,metabolism
MG_039_DIMER,83729.2,100.0,MG_039_DIMER_g.pdb,,AU,,FAD-dependent glycerol-3-phosphate dehydrogenase; putative,,curated_root.mge,c,1.0,3dme,0.399284,"0,0,0","0,0,1",14,Homology Modeling,0,metabolism
MG_040_119_120_121_PENTAMER,279728,76.673016044,4fi3,,AU,,Monosaccharide (riboside/galactoside) ABC transporter,TRUE,curated_root.mge,m,1.0,-,-1,"0,0,0","0,0,1",28,PDB-homolog,0,protein transport/singaling
MG_041_062_429_PENTAMER,284503,83.061469562,3qnq_2xdf.pdb,,AU,,PTS system; fructose-specific,TRUE,curated_root.mge,m,1.0,-,0.457621,"-10,-2,55","-0.02,0,-1",15,PDB-homolog (manually assembled),0,metabolism
MG_041_069_429_PENTAMER,329025,86.301428098,2xdf_5iws.pdb,,AU,,PTS system; glucose-specific,TRUE,curated_root.mge,m,1.0,-,0.470327,"-6,54,2","0.04,-0.99,0.1",16,PDB-homolog (manually assembled),0,metabolism
MG_042_043_044_045_PENTAMER,244934,97.466021802,3puz,,AU,,spermidine/putrescine (polyamine) ABC transporter,TRUE,curated_root.mge,m,1.0,-,-1,"0,0,0","0,0,1",13,PDB-homolog,0,protein transport/singaling
MG_046_DIMER,69043.6,99.68253968,MG_046_DIMER_g.pdb,,AU,,metalloendopeptidase,,curated_root.mge,c,1.0,4K25,0.505123,"0,0,0","0,0,1",25,Homology Modeling,0,RNA synthesis/maturation
MG_047_TETRAMER,167884,97.12793734,MG_047_TETRAMER_g.pdb,,AU,,S-adenosylmethionine synthetase,,curated_root.mge,c,1.0,3S82,0.468068,"0,0,0","0,0,1",14,Homology Modeling,0,metabolism
MG_049_HEXAMER,157937,99.57983193,deod.pdb,,AU,,purine nucleoside phosphorylase,,curated_root.mge,c,1.0,1ECP_ABCDEF,0.367619,"0,0,1","0,0,1",17,CYT-MG-model,0,metabolism
MG_051_DIMER,92337.8,100.0,MG_051_DIMER_sw.pdb,,AU,,pyrimidine-nucleoside phosphorylase,,curated_root.mge,c,1.0,2jg1_C,0.487352,"0,0,0","0,0,1",58,Homology Modeling,0,metabolism
MG_052_DIMER,29948.8,99.9,cdd.pdb,,AU,,cytidine deaminase,,curated_root.mge,c,1.0,1JTX_AB,0.41134,"0,0,0","0,0,1",30,CYT-MG-model,0,metabolism
MG_053_TRIMER,189075,92.90909090999999,manb.pdb,,AU,,phosphoglucomutase/phosphomannomutase; putative,,curated_root.mge,c,1.0,1WQA_A,0.253453,"0,0,0","0,0,1",20,CYT-MG-model,0,metabolism
MG_055_170_277_464_476_20MER,899195,82.19877841799999,5mg3,,AU,,preprotein translocase,TRUE,curated_root.mge,m,1.0,-,-1,"0,0,0","0,0,1",12,PDB-homolog,0,protein transport/singaling
MG_058_HEXAMER,225076,96.08433735,MG_058_HEXAMER_g.pdb,,AU,,ribose-phosphate pyrophosphokinase,,curated_root.mge,c,1.0,1dkr,0.54444,"0,0,0","0,0,1",12,Homology Modeling,0,metabolism
MG_063_DIMER,67098.6,98.01980198,MG_063_DIMER_g.pdb,,AU,,1-phosphofructokinase; putative,,curated_root.mge,c,1.0,2JGV,0.484355,"0,0,0","0,0,1",27,Homology Modeling,0,metabolism
MG_064_065_TETRAMER,400457,52.87213896,5XU1,,AU,,ABC transporter,TRUE,curated_root.mge,m,1.0,-,0.466816,"1,-1,0","0,0,1",29,PDB-homolog,0,protein transport/singaling
MG_066_DIMER,147198,99.69135802,MG_066_DIMER_g.pdb,,AU,,transketolase,,curated_root.mge,c,1.0,4C7V,0.514187,"0,0,0","0,0,1",40,Homology Modeling,0,metabolism
MG_072_DIMER,182425,96.77419355,MG_072_DIMER_sw.pdb,,AU,,preprotein translocase; SecA subunit,,curated_root.mge,c,1.0,2e89_A,0.424796,"0,0,0","0,0,1",12,Homology Modeling,0,protein transport/singaling
MG_073_206_421_TETRAMER,355255,82.9843148875,3uwx,,BU1,,DNA incision complex,,curated_root.mge,c,1.0,-,-1,"0,0,0","0,0,1",12,PDB-homolog,1,DNA replication/maintenance
MG_077_078_079_080_321_PENTAMER,330351,67.33091218199999,4tqu,,AU,,oligopeptide ABC transporter,TRUE,curated_root.mge,m,1.0,-,-1,"26,19,6","0,0,1",19,PDB-homolog,0,protein transport/singaling
MG_084_TETRAMER,137025,100.0,MG_084_TETRAMER_g.pdb,,AU,,tRNA(Ile)-lysidine synthetase,,curated_root.mge,c,1.0,1wy5,0.278437,"0,0,0","0,0,1",17,Homology Modeling,0,RNA synthesis/maturation
MG_085_HEXAMER,208114,100.0,MG_085_HEXAMER_g.pdb,,AU,,HPr(Ser) kinase/phosphatase,,curated_root.mge,c,1.0,1KNX,0.486884,"0,0,0","0,0,1",10,Homology Modeling,0,metabolism
MG_089_DIMER,152332,99.85465116,fusa.pdb,,AU,,translation elongation factor G,,curated_root.mge,c,1.0,2RDO_7,0.275463,"0,0,0","0,0,1",126,CYT-MG-model,0,translation
MG_091_OCTAMER,,91.783125,MG_091_TETRAMER_sw.pdb,,AU,,single-strand binding protein family; octamer,,curated_root.mge,c,1.0,4nmn_A,0.517109,"0,0,0","0,0,1",0,Homology Modeling,0,DNA replication/maintenance
MG_091_TETRAMER,71147.2,91.783125,MG_091_TETRAMER_sw.pdb,,AU,,single-strand binding protein family; tetramer,,curated_root.mge,c,1.0,5yyu_A,0.517109,"0,0,0","0,0,1",78,Homology Modeling,0,DNA replication/maintenance
MG_094_HEXAMER,322189,95.94017093999999,MG_094_HEXAMER_sw.pdb,,AU,,replicative DNA helicase,,curated_root.mge,c,1.0,4rv7_C,0.449062,"0,0,0","0,0,1",41,Homology Modeling,0,DNA replication/maintenance
MG_098_099_100_TRIMER,161404,72.44136967333333,3AL0, or :A or :B or :C,AU,,glutamyl-tRNA(Gln) and/or aspartyl-tRNA(Asn) amidotransferase,,curated_root.mge,c,1.0,-,0.4576,"1,-1,0","0,0,1",126,PDB-homolog,0,RNA synthesis/maturation
MG_102_DIMER,69348,100.0,trxb.pdb,,AU,,thioredoxin-disulfide reductase,,curated_root.mge,c,1.0,2Q7V_AB,0.368399,"0,0,0","0,0,1",16,CYT-MG-model,0,metabolism
MG_102_DIMER_ox,,100.0,trxb.pdb,,AU,,oxidized thioredoxin-disulfide reductase,,curated_root.mge,c,1.0,2Q7V_AB,0.368399,"0,0,0","0,0,1",0,CYT-MG-model,0,metabolism
MG_105_OCTAMER,179746,87.0,MG_105_OCTAMER_g.pdb,,AU,,putative DNA integrity scanning protein,,curated_root.mge,c,1.0,2fb5,0.422774,"0,0,0","0,0,1",15,Homology Modeling,0,DNA replication/maintenance
MG_106_DIMER,44195,95.85492228,MG_106_DIMER_g.pdb,,AU,,peptide deformylase,,curated_root.mge,c,1.0,3u04,0.379958,"0,0,0","0,0,1",31,Homology Modeling,0,protein folding/maturation
MG_107_DIMER,44255,93.02857143,MG_107_DIMER_g.pdb,,AU,,guanylate kinase,,curated_root.mge,c,1.0,4QRH,0.429439,"0,0,0","0,0,1",18,Homology Modeling,0,metabolism
MG_109_DIMER,88135,90.43927649,MG_109_DIMER_g.pdb,,AU,,serine/threonine protein kinase; putative,TRUE,curated_root.mge,m,1.0,4ynz,0.342974,"-38,0,44","0.75,0.21,-0.63",30,Homology Modeling,0,protein transport/singaling
MG_111_DIMER,98317.6,99.30715935,pgi.pdb,,AU,,glucose-6-phosphate isomerase,,curated_root.mge,c,1.0,1B0Z_A,0.359588,"0,0,0","0,0,1",24,CYT-MG-model,0,metabolism
MG_112_DIMER,48200,97.51004785,MG_112_DIMER_sw.pdb, or :A or :B,AU,,ribulose-phosphate 3-epimerase,,curated_root.mge,c,1.0,5d92_D,0.550599,"0,0,0","0,0,1",22,Homology Modeling,0,metabolism
MG_113_DIMER,103427,99.12280702,MG_113_DIMER_g.pdb,,AU,,asparaginyl-tRNA synthetase,,curated_root.mge,c,1.0,1x54,0.511709,"0,0,0","0,0,1",21,Homology Modeling,0,RNA synthesis/maturation
MG_114_DIMER,52422.6,90.49661017,MG_114_DIMER_g.pdb,,AU,,CDP-diacylglycerol–glycerol-3-phosphate 3-phosphatidyltransferase,TRUE,curated_root.mge,m,1.0,4mnd,0.356859,"1,5,-1","-0.01,-0.02,1",24,Homology Modeling,0,metabolism
MG_118_DIMER,76105.8,99.11764706,gale.pdb,,AU,,UDP-glucose 4-epimerase,,curated_root.mge,c,1.0,1LRK_A,0.352855,"0,0,0","0,0,1",18,CYT-MG-model,0,metabolism
MG_123_DIMER,109791,42.66878981,3TM8,,1,,arginine deaminase,TRUE,curated_root.mge,m,1.0,-,0.479733,"0,0,-37","0,0.24,1",18,PDB-homolog,0,RNA synthesis/maturation
MG_124_MONOMER_ox,,99.9,MG_124_MONOMER_int.pdb,,AU,,oxidized thioredoxin,,curated_root.mge,c,1.0,2yj7; 2i4a,0.7945,"0,0,0","0,0,1",0,Homology Modeling,0,metabolism
MG_126_DIMER,78656,99.42363112,MG_126_DIMER_g.pdb,,AU,,tryptophanyl-tRNA synthetase,,curated_root.mge,c,1.0,2YY5,0.53919,"0,0,0","0,0,1",12,Homology Modeling,0,RNA synthesis/maturation
MG_127_MONOMER_ox,,88.87655172,MG_127_MONOMER_int.pdb,,AU,,oxidized Spx subfamily protein,,curated_root.mge,c,1.0,1z3e; 3l78,0.7054,"0,0,0","0,0,1",0,Homology Modeling,0,transcription
MG_128_HEXAMER,175198,99.61389961000002,MG_128_HEXAMER_g.pdb,,AU,,inorganic polyphosphate/ATP-NAD kinase; probable,,curated_root.mge,c,1.0,3pfn,0.449449,"0,0,0","0,0,1",11,Homology Modeling,0,metabolism
MG_132_DIMER,31173.6,98.48297872,hint.pdb,,AU,,purine nucleoside phosphoramidase,,curated_root.mge,c,1.0,3IMI_AB,0.215998,"0,0,0","0,0,1",16,CYT-MG-model,0,metabolism
MG_136_DIMER,112386,99.79591837,lyss.pdb,,AU,,lysyl-tRNA synthetase,,curated_root.mge,c,1.0,3E9H_AB,0.337038,"0,0,0","0,0,1",29,CYT-MG-model,0,RNA synthesis/maturation
MG_137_DIMER,92577.6,95.2970297,glf.pdb,,AU,,UDP-galactopyranose mutase,,curated_root.mge,c,1.0,3HDQ_AI,0.298,"0,0,0","0,0,1",29,CYT-MG-model,0,metabolism
MG_139_DIMER,128030,98.5940246,MG_139_DIMER_g.pdb,,AU,,ribonuclease J,,curated_root.mge,c,1.0,4xww,0.451103,"0,0,0","0,0,1",8,Homology Modeling,0,RNA synthesis/maturation
MG_179_180_181_TETRAMER,159115,94.7556390975,5jsz,,AU,,metal ion (cobalt) ABC transporter,TRUE,curated_root.mge,m,1.0,-,-1,"0,0,0","0,0,1",16,PDB-homolog,0,protein transport/singaling
MG_182_DIMER,54822.2,100.0,MG_182_DIMER_g.pdb,,AU,,Pseudouridylate synthase,,curated_root.mge,c,1.0,1vs3,0.509061,"0,0,0","0,0,1",16,Homology Modeling,0,RNA synthesis/maturation
MG_184_DIMER,73734.2,48.47318612,2OKC, or :A,AU,,adenine-specific DNA modification methylase,,curated_root.mge,c,1.0,-,0.545108,"0,0,0","0,0,1",35,PDB-homolog,1,DNA replication/maintenance
MG_186_187_188_189_PENTAMER,193542,84.77358433399999,4TQU,,AU,,Oligosaccharide or polyol ABC transporter,TRUE,curated_root.mge,m,1.0,-,0.519444,"-2,-1,-6","0,0,1",28,PDB-homolog,0,protein transport/singaling
MG_194_195_TETRAMER,259621,99.791337695,phes.pdb, or :A or :B or :C or :D,AU,,phenylalanyl-tRNA synthetase,,curated_root.mge,c,1.0,2IY5_B,0.288173,"0,0,0","0,0,1",35,CYT-MG-model,0,RNA synthesis/maturation
MG_201_DIMER,49655.8,82.48847926,MG_201_DIMER_sw.pdb,,AU,,co-chaperone GrpE,,curated_root.mge,c,1.0,not-modelled,0.334209,"5,-1,36","-0.06,-0.01,-1",23,Homology Modeling,0,protein folding/maturation
MG_203_204_TETRAMER,319047,94.65636270499999,4JUO_aligned.pdb, or :A or :C or :B or :D,AU,,topoisomerase IV,,curated_root.mge,c,1.0,-,0.445721,"0,0,0","0,0,1",12,PDB-homolog (manually assembled),1,DNA replication/maintenance
MG_205_DIMER,78653.4,99.41690962,MG_205_DIMER_sw.pdb, or :A or :C,AU,,heat-inducible transcription repressor HrcA; putative,,curated_root.mge,c,1.0,6fpe_C,0.434136,"9,-43,-17","0.11,0.32,-0.94",17,Homology Modeling,1,transcription
MG_208_DIMER,45070.2,97.95918367,MG_208_DIMER_g.pdb,,AU,,glycoprotease family protein,,curated_root.mge,c,1.0,5BR9,0.422256,"0,0,0","0,0,1",9,Homology Modeling,0,protein folding/maturation
MG_213_214_298_6MER,377002,75.21767086333334,smc_model_ATP.pdb,,AU,,chromosome segregation protein SMC,,curated_root.mge,c,1.0,-,0.399859,"145,-209,51","-0.54,-0.5,-0.68",2,PDB-homolog (manually assembled),1,cytokinesis/motility
